기관명,구,동,요양종별,진료시간(월요일)S,진료시간(월요일)C,진료시간(화요일)S,진료시간(화요일)C,진료시간(수요일)S,진료시간(수요일)C,진료시간(목요일)S,진료시간(목요일)C,진료시간(금요일)S,진료시간(금요일)C,진료시간(토요일)S,진료시간(토요일)C,진료시간(일요일)S,진료시간(일요일)C,진료시간(공휴일)S,진료시간(공휴일)C,경도,위도,전화번호,야간진료여부
서울적십자병원,종로구,평동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,930.0,1400.0,800.0,1300.0,930.0,1830.0,126.96699861289684,37.56715536263689,02-2002-8000,True
의료법인서울효천의료재단에이치플러스양지병원,관악구,신림동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,1000.0,1600.0,830.0,1230.0,126.93253922577289,37.48427507045319,02-1877-8875,False
의료법인풍산의료재단동부제일병원,중랑구,망우동,종합병원,800.0,1730.0,800.0,1730.0,800.0,1730.0,800.0,1730.0,800.0,1730.0,800.0,1230.0,900.0,2100.0,900.0,1300.0,127.1090292210168,37.60067564592665,02-437-5011,True
이화여자대학교의과대학부속서울병원,강서구,마곡동,종합병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1200.0,1000.0,1800.0,930.0,1830.0,126.8362659275,37.557261149,1522-7000,True
인제대학교상계백병원,노원구,상계동,종합병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1200.0,930.0,1700.0,900.0,1300.0,127.06311619032104,37.6485812672986,02-950-1114,False
차의과학대학교강남차병원,강남구,역삼동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,830.0,1230.0,900.0,2100.0,127.03466865188072,37.506800025850865,02-3468-3000,True
혜민병원,광진구,자양동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1220.0,900.0,1300.0,900.0,1300.0,127.08360130258502,37.535315660180416,02-2049-9000,False
홍익병원,양천구,신정동,종합병원,900.0,1800.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1300.0,900.0,1400.0,930.0,1830.0,126.8636640030062,37.52844147447355,02-2693-5555,True
가톨릭대학교여의도성모병원,영등포구,여의도동,종합병원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1200.0,1000.0,1600.0,1000.0,1600.0,126.93673129599132,37.51827233800711,02-1661-7575,False
가톨릭대학교은평성모병원,은평구,진관동,종합병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1200.0,1000.0,1600.0,1000.0,1600.0,126.91615048739686,37.633608409726854,02-1811-7755,False
강동경희대학교의대병원,강동구,상일동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1200.0,900.0,1600.0,900.0,1600.0,127.157084787845,37.5520459324005,02-440-7114,False
경찰병원,송파구,가락동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1230.0,930.0,1600.0,930.0,1600.0,127.123487935032,37.496413213560785,02-3400-1114,False
의료법인한전의료재단한일병원,도봉구,쌍문동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1230.0,900.0,2100.0,800.0,1800.0,127.02902417950423,37.64611570419094,02-901-3114,True
삼육치과병원,동대문구,휘경동,종합병원,830.0,2100.0,830.0,2100.0,830.0,2100.0,830.0,2100.0,800.0,1730.0,930.0,1300.0,830.0,1730.0,830.0,1730.0,127.06355328121,37.5862119387672,02-3407-2875,True
서울특별시동부병원,동대문구,용두동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1400.0,1000.0,1400.0,1000.0,2200.0,127.03140257525509,37.57539886464885,02-920-9114,True
서울특별시보라매병원,동작구,신대방동,종합병원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1200.0,1000.0,1400.0,1000.0,2200.0,126.92404876254014,37.4937184009319,02-870-2114,True
서울특별시서남병원,양천구,신정동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1200.0,1000.0,1400.0,1000.0,2200.0,126.8331299304024,37.51201935883779,1566-6688,True
성애의료재단성애병원,영등포구,신길동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1300.0,900.0,1200.0,930.0,1800.0,126.92236733617032,37.51205044957338,02-840-7114,False
한국보훈복지의료공단중앙보훈병원,강동구,둔촌동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,730.0,1200.0,900.0,1300.0,900.0,1300.0,127.14671886173552,37.528220900896635,02-2225-1111,False
한국원자력의학원원자력병원,노원구,공릉동,종합병원,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1630.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,127.08269315796588,37.628815981330355,02-970-2114,False
한림대학교강남성심병원,영등포구,대림동,종합병원,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1630.0,830.0,1200.0,1000.0,1500.0,1000.0,1500.0,126.9086725295,37.4932492859,02-829-5114,False
한림대학교한강성심병원,영등포구,영등포동7가,종합병원,900.0,1630.0,900.0,1630.0,900.0,1630.0,900.0,1630.0,900.0,1630.0,830.0,1200.0,1000.0,1500.0,1000.0,1500.0,126.91033000120588,37.52346674579277,02-2639-5114,False
의료법인청구성심병원,은평구,갈현동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1220.0,900.0,2100.0,900.0,1300.0,126.91955399169244,37.62079154435882,02-350-3300,True
미즈메디병원,강서구,내발산동,종합병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1230.0,900.0,1300.0,900.0,1300.0,126.83602535156236,37.55225379358291,1588-2701,False
서울특별시서울의료원,중랑구,신내동,종합병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1200.0,1000.0,1400.0,1000.0,2200.0,127.0980910949257,37.61286931510163,02-2276-7000,True
성심의료재단강동성심병원,강동구,길동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,900.0,1200.0,900.0,1400.0,127.13526354631516,37.53598408220376,02-2224-2114,False
세란병원,종로구,무악동,종합병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1230.0,1000.0,1400.0,1000.0,1400.0,126.9577071892358,37.57534016994642,02-737-0181,False
순천향대학교부속서울병원,용산구,한남동,종합병원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1200.0,930.0,1400.0,900.0,1400.0,127.00441798640304,37.53384172231443,02-709-9114,False
노원을지대학교병원,노원구,하계동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,930.0,1630.0,900.0,1500.0,127.07000281991384,37.636442927386746,02-970-8000,False
녹색병원,중랑구,면목동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,930.0,1630.0,900.0,1500.0,127.08605546969356,37.58362083896108,02-490-2000,False
대림성모병원,영등포구,대림동,종합병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,900.0,1500.0,900.0,1400.0,126.90716948025135,37.49068925436284,02-829-9000,False
부민병원,강서구,등촌동,종합병원,900.0,1800.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1300.0,1300.0,1700.0,900.0,1400.0,126.8509495053918,37.556940892893586,1577-7582,False
서울노보스병원,도봉구,도봉동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1400.0,900.0,1800.0,127.043634544572,37.6719302785383,02-3492-3251,False
서울라본병원,중랑구,망우동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1200.0,1600.0,900.0,1400.0,127.1050924258,37.600312514,02-2209-6677,False
서울숭인병원,종로구,숭인동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,1000.0,1400.0,1000.0,1400.0,1000.0,1400.0,127.020352393515,37.5740805443826,02-737-7582,False
서울스타병원,강서구,내발산동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1400.0,930.0,1830.0,126.836227554297,37.5532303968282,02-2604-9300,True
서울퍼스트병원,관악구,봉천동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,930.0,1400.0,900.0,1600.0,126.941200194149,37.4862851623719,02-882-6900,False
서울프라임병원,광진구,자양동,병원,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,127.063590210516,37.5408266646495,02-464-2700,True
성북우리아이들병원,성북구,하월곡동,병원,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,0.0,2400.0,900.0,1800.0,127.029359244458,37.6068633235053,02-912-0100,True
비에스코아이비인후과병원,강서구,내발산동,병원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1530.0,1000.0,1500.0,1000.0,1500.0,126.836553620481,37.5546704615225,02-6953-8226,True
로덴치과병원,성북구,종암동,병원,930.0,2030.0,930.0,2030.0,930.0,2030.0,930.0,1800.0,930.0,2030.0,930.0,1600.0,1000.0,1400.0,1000.0,1400.0,127.035693824082,37.5971169151205,02-941-4974,True
의료법인한국의료재단프라임병원,중랑구,묵동,병원,900.0,1800.0,900.0,2000.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,900.0,2100.0,800.0,1800.0,127.07946003191,37.6172283555794,02-975-7500,True
장스여성병원,중랑구,망우동,병원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,730.0,2000.0,730.0,1700.0,900.0,1700.0,900.0,1700.0,127.097561434831,37.5997087386745,02-490-4000,True
연세노블병원,은평구,녹번동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,126.924452636345,37.6040399058057,02-384-0009,False
연세사랑모아여성병원,구로구,고척동,병원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1400.0,930.0,1300.0,1000.0,1400.0,126.86050138013454,37.5064934607305,02-2636-1122,True
참튼튼병원,동대문구,장안동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1330.0,900.0,1400.0,900.0,1400.0,127.069359147079,37.572732776108,1588-7562,False
참튼튼병원,노원구,상계동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1400.0,900.0,1600.0,127.063692307584,37.6544500497108,02-3392-9100,False
청담해리슨병원,강남구,삼성동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1400.0,1200.0,2030.0,127.05118411143,37.5176900181182,02-333-8801,True
청화병원,동작구,노량진동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1600.0,930.0,1230.0,930.0,1230.0,126.94020821431484,37.50702302771752,02-815-3788,False
튼튼병원,강남구,청담동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,930.0,1600.0,930.0,1300.0,127.055749348567,37.5213073708446,1899-7775,False
햇빛병원,강북구,미아동,병원,900.0,1300.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,900.0,1800.0,0.0,2400.0,0.0,2400.0,900.0,1300.0,127.030285286084,37.6157674743173,02-983-7771,True
호산여성병원,강남구,신사동,병원,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,900.0,1600.0,930.0,1300.0,900.0,1900.0,127.033354132164,37.5285677154605,02-546-3493,True
더드림병원,강남구,대치동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1400.0,900.0,1300.0,127.050967336445,37.5009902618151,02-1661-1177,False
강남유나이티드병원,강남구,도곡동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1400.0,900.0,1400.0,127.035096207425,37.4849629812617,02-1644-0075,False
강남초이스병원,관악구,봉천동,병원,1000.0,2000.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,2000.0,1000.0,1300.0,1400.0,1800.0,900.0,1800.0,126.949595277943,37.4813226832698,02-875-2200,True
고은빛여성병원,강동구,길동,병원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1400.0,1000.0,1300.0,1000.0,1300.0,127.139335813162,37.5341560838916,02-1577-0082,True
기쁨병원,서초구,서초동,병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1300.0,1000.0,1630.0,900.0,1400.0,127.018063486739,37.482713030212,02-570-1234,False
신촌연세병원,마포구,신수동,병원,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1700.0,830.0,1230.0,900.0,1500.0,930.0,1700.0,126.933734666413,37.5525892651719,02-337-7582,False
인정병원,은평구,응암동,병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,900.0,1300.0,930.0,1700.0,900.0,1300.0,126.91659126549,37.5865882667176,02-309-0909,False
연세슬기병원,성동구,도선동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,1000.0,1900.0,127.030678010912,37.5642703458178,02-2281-0010,True
윤호병원,강남구,신사동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1600.0,1000.0,1600.0,127.034414086692,37.5288443792735,02-512-0500,False
의료법인 원중의료재단 우리내일병원,서대문구,북아현동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,126.9570018788794,37.55770922768198,02-1600-7512,False
제이여성병원,서대문구,홍제동,병원,830.0,2000.0,830.0,2000.0,830.0,2000.0,830.0,2000.0,830.0,2000.0,830.0,1530.0,830.0,1230.0,830.0,1230.0,126.94492360787297,37.58851463067776,02-2153-7777,True
목동제일여성병원,양천구,신정동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,1200.0,1600.0,900.0,1800.0,126.851872560398,37.5230563143626,02-6927-3646,False
미래드림여성병원,관악구,봉천동,병원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1500.0,1000.0,1300.0,1000.0,1700.0,126.94863342312036,37.48204325629714,02-886-5551,True
새로운병원,강남구,논현동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,930.0,1500.0,930.0,1500.0,127.024309875094,37.5122605080308,1577-0212,False
참포도나무병원,서초구,양재동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1400.0,900.0,1900.0,127.038680321903,37.4799289174276,0215880831,True
청담병원,강남구,청담동,병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,800.0,1300.0,1000.0,1800.0,1000.0,1500.0,127.045620972984,37.5207193079382,02-2104-2000,False
서울원병원,강서구,화곡동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1600.0,900.0,1800.0,126.839322200876,37.5423627575293,1544-5888,False
서울특별시어린이병원,서초구,내곡동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1200.0,1000.0,1400.0,1000.0,2200.0,127.068851404997,37.4557172797141,02-570-8000,True
에이치큐브병원,도봉구,창동,병원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1400.0,1200.0,1700.0,900.0,1900.0,127.04103427994264,37.65831441873671,02-900-2000,True
엔플러스병원,동대문구,장안동,병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,900.0,1230.0,900.0,1800.0,127.072583233437,37.5754686901664,02-6235-7575,False
포미즈여성병원,양천구,목동,병원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,126.87235841377,37.546789059764,02-2651-7500,True
연세산돌병원,중랑구,망우동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1600.0,900.0,1600.0,127.098876946116,37.5951721459585,15330032,False
연세우리병원,송파구,잠실동,병원,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,127.087307841535,37.504811961495,02-1533-1755,True
유광사여성병원,강서구,화곡동,병원,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,1600.0,900.0,1400.0,900.0,1700.0,126.838880973474,37.5435916590617,02-2608-1011,True
한강수병원,영등포구,양평동1가,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,126.890913736375,37.5224047841717,02-1800-7119,False
은평연세병원,은평구,갈현동,병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,1000.0,1800.0,1000.0,1800.0,126.917472218592,37.6146922208583,02-388-8114,False
의료법인청해의료재단제일병원,서초구,방배동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1230.0,900.0,2100.0,900.0,1300.0,126.995052679586,37.4878291517951,02-586-5557,True
삼성미래여성병원,구로구,오류동,병원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,800.0,1300.0,900.0,1300.0,900.0,1300.0,126.84044403086,37.4912413885939,02-2682-2100,True
새힘병원,노원구,상계동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1500.0,1000.0,1500.0,127.067905988941,37.6536773594601,02-6956-1231,False
서울특별시서북병원,은평구,역촌동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1200.0,1000.0,1400.0,1000.0,2200.0,126.905664235484,37.6043567763756,02-3156-3000,True
아름제일병원,구로구,구로동,병원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,800.0,1600.0,900.0,1500.0,900.0,1500.0,126.890498431184,37.5054702180553,02-855-9911,True
뉴스타트병원,송파구,가락동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,0.0,2400.0,0.0,2400.0,900.0,1300.0,127.119513008234,37.4990977042848,02-407-7700,True
담소유병원,강남구,논현동,병원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1530.0,900.0,1300.0,900.0,1300.0,127.03461432013,37.5148604879121,02-542-2222,False
낭만병원,동작구,사당동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1400.0,126.981480681968,37.4825469938281,02-523-1119,False
두발로병원,강남구,신사동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1300.0,1000.0,1300.0,127.029403239407,37.5243502735902,02-1833-2280,False
로이병원,종로구,평창동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1500.0,1000.0,1600.0,900.0,1300.0,126.96900620111,37.606862635259,02-1644-7541,False
린여성병원,동대문구,장안동,병원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1600.0,1000.0,1005.0,1000.0,1300.0,127.069844464433,37.5722812717492,02-2244-1212,True
마디세상병원,중랑구,묵동,병원,900.0,1800.0,900.0,2000.0,900.0,1800.0,900.0,2000.0,900.0,1800.0,900.0,1300.0,830.0,1400.0,900.0,1300.0,127.078189221962,37.6099151597192,02-978-8575,True
메디아이여성병원,노원구,상계동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1600.0,900.0,1200.0,900.0,1200.0,127.0670480462,37.6564723367144,02-936-2122,False
바로선병원,도봉구,창동,병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1600.0,900.0,1800.0,127.042113640274,37.6603418778017,02-1666-5853,False
방병원,노원구,공릉동,병원,830.0,2400.0,830.0,2400.0,830.0,2400.0,830.0,2400.0,830.0,2400.0,0.0,2400.0,0.0,2400.0,830.0,2400.0,127.075033608195,37.6184022670986,1577-4447,True
신촌힐링요양병원,서대문구,홍은동,요양병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1830.0,1000.0,1830.0,126.933744105762,37.5797577190735,02-6237-7775,True
신화요양병원,영등포구,영등포동7가,요양병원,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1730.0,900.0,1300.0,930.0,1730.0,930.0,1830.0,126.905824841303,37.5251266582293,02-2632-8114,True
의료법인참예원의료재단성북참요양병원,성북구,정릉동,요양병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,2100.0,900.0,1300.0,127.005193513658,37.5976570265011,02-912-2114,True
포레힐요양병원,송파구,방이동,요양병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1500.0,900.0,1500.0,900.0,1500.0,127.11382360495962,37.509718152974095,02-2203-6100,False
푸르메재단넥슨어린이재활병원,마포구,상암동,요양병원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1030.0,1430.0,1030.0,1430.0,126.880520296415,37.5846474329581,02-6070-9000,False
